name,type,close_date,verdict,score,issue_price,listing_close,gain_pct,sub_total,sub_qib,gmp_pct,anchor,symbol,listing_date
Cube Highways Trust,MainBoard,2026-07-24,NOT RATED,0.0,152.0,120.6,-20.66,9.35,,,1,CUBEINVIT,2025-01-20
Bagmane Prime Office REIT,MainBoard,2026-05-07,NOT RATED,0.0,100.0,103.66,3.66,24.96,,,1,BAGMANE,2026-05-14
G.V.Electricals Ltd.,SME,2026-08-07,CONSIDER,0.321,130.0,165.9,27.62,169.26,,20.0,1,GVELECTRIC,2026-08-12
Merritronix Ltd.,SME,2026-06-03,CONSIDER,0.288,149.0,297.25,99.5,315.36,,,1,MRTX,2026-06-08
Manipal Health Enterprises Ltd.,MainBoard,2026-07-31,NEUTRAL,-0.008,590.0,666.95,13.04,5.12,,-2.54,1,MANIPALHOS,2026-08-05
Poojaa Precision Engg.Ltd.,SME,2026-07-30,CONSIDER,0.276,301.0,493.5,63.95,278.83,,74.75,1,PPEL,2026-08-04
SBI Funds Management Ltd.,MainBoard,2026-07-16,CONSIDER,0.384,574.0,609.75,6.23,41.73,,,1,SBIFUNDS,2026-07-21
Devson Catalyst Ltd.,SME,2026-07-13,APPLY,0.459,118.0,205.95,74.53,220.35,,,1,DEVSON,2026-07-16
Horizon Reclaim (India) Ltd.,SME,2026-06-16,CONSIDER,0.309,103.0,147.3,43.01,304.11,,,1,HORIZON,2026-06-19
Susan Electricals India Ltd.,SME,2026-06-15,CONSIDER,0.382,127.0,195.3,53.78,216.63,,,1,SUSAN,2026-06-18
Fusion Klassroom Edutech Ltd.,SME,2026-08-04,NEUTRAL,0.086,159.0,166.75,4.87,1.5,,0.0,1,KLASSROOM,2026-08-07
Millworks Technologies Ltd.,SME,2026-07-16,CONSIDER,0.388,331.0,660.3,99.49,219.54,,,1,MILLWORKS,2026-07-21
Citius Transnet Investment Trust,MainBoard,2026-04-21,NOT RATED,0.0,100.0,106.19,6.19,20.43,,,1,CITIUSINVT,2026-04-29
Raajmarg Infra Investment Trust,MainBoard,2026-03-13,NOT RATED,0.0,100.0,106.83,6.83,13.74,,,1,RIIT,2026-03-24
Ardee Industries Ltd.,MainBoard,2026-08-07,CONSIDER,0.273,53.0,67.12,26.64,138.83,,28.3,1,ARDEE,2026-08-12
Dhoot Transmission Ltd.,MainBoard,2026-08-12,CONSIDER,0.31,871.0,1187.05,36.29,75.06,,31.69,1,DHOOTTRANS,2026-08-17
Dhanwel Hybrid Seeds Ltd.,SME,2026-08-21,NEUTRAL,0.016,99.0,94.05,-5.0,1.65,1.0,1.01,0,DHANWEL,2026-08-26
Kratikal Tech Ltd.,SME,2026-07-02,CONSIDER,0.385,135.0,182.4,35.11,154.97,,,1,KRATIKAL,2026-07-07
UHM Vacation Ltd.,SME,2026-06-08,CONSIDER,0.181,166.0,126.2,-23.98,2.36,,,0,UHMVL,2026-06-11
Technocrats Plasma Systems Ltd.,SME,2026-08-18,CONSIDER,0.353,132.0,241.5,82.95,203.36,169.54,32.58,1,TECHNOCRAT,2026-08-21
Aegeus Technologies Ltd.,SME,2026-08-06,CONSIDER,0.28,105.0,130.7,24.48,29.91,,11.43,1,AEGEUS,2026-08-11
Sotefin Bharat Ltd.,SME,2026-07-20,CONSIDER,0.212,187.0,215.25,15.11,3.99,,,1,SOTEFIN,2026-07-23
Dhaval Packaging Ltd.,SME,2026-08-03,CONSIDER,0.222,97.0,111.68,15.13,49.99,,8.25,1,DHAVAL,2026-08-06
Horizon Industrial Parks Ltd.,MainBoard,2026-08-19,AVOID,-0.312,60.0,58.16,-3.07,1.52,1.94,2.17,1,HORIZONIND,2026-08-24
Recode Studios Ltd.,SME,2026-05-07,APPLY,0.512,158.0,223.75,41.61,234.64,,,1,RECODE,2026-05-12
Silverstorm Parks & Resorts Ltd.,SME,2026-07-28,NEUTRAL,0.1,133.0,127.0,-4.51,1.91,,0.0,1,SSPRL,2026-07-31
MV Electrosystems Ltd.,MainBoard,2026-08-03,NEUTRAL,-0.072,425.0,624.0,46.82,200.66,,23.53,1,MVELECTRO,2026-08-06
SEDEMAC Mechatronics Ltd.,MainBoard,2026-03-06,AVOID,-0.156,1352.0,1451.1,7.33,2.68,,,1,SEDEMAC,2026-03-11
ENS Enterprises Ltd.,SME,2026-08-18,CONSIDER,0.385,92.0,100.8,9.57,13.11,9.44,4.35,1,ENS,2026-08-21
Adisoft Technologies Ltd.,SME,2026-04-27,NEUTRAL,0.07,172.0,138.71,-19.35,77.45,,,1,ISFT,2025-01-17
